run_id,client,cl_batch,size
20260823-193110,0,1,5433
20260823-193110,0,2,1037
20260823-193110,0,3,1037
20260823-193110,0,4,1037
20260823-193110,0,5,1037
20260823-193110,0,6,1037
20260823-193110,0,7,1041
20260823-193110,1,1,6525
20260823-193110,1,2,1246
20260823-193110,1,3,1246
20260823-193110,1,4,1246
20260823-193110,1,5,1246
20260823-193110,1,6,1246
20260823-193110,1,7,1247
20260823-193110,2,1,3720
20260823-193110,2,2,710
20260823-193110,2,3,710
20260823-193110,2,4,710
20260823-193110,2,5,710
20260823-193110,2,6,710
20260823-193110,2,7,713
20260823-193110,3,1,5292
20260823-193110,3,2,1010
20260823-193110,3,3,1010
20260823-193110,3,4,1010
20260823-193110,3,5,1010
20260823-193110,3,6,1010
20260823-193110,3,7,1014
