run_id,client,cl_batch,size
20260823-161257,0,1,4691
20260823-161257,0,2,896
20260823-161257,0,3,896
20260823-161257,0,4,896
20260823-161257,0,5,896
20260823-161257,0,6,896
20260823-161257,0,7,896
20260823-161257,1,1,5168
20260823-161257,1,2,987
20260823-161257,1,3,987
20260823-161257,1,4,987
20260823-161257,1,5,987
20260823-161257,1,6,987
20260823-161257,1,7,987
20260823-161257,2,1,5727
20260823-161257,2,2,1093
20260823-161257,2,3,1093
20260823-161257,2,4,1093
20260823-161257,2,5,1093
20260823-161257,2,6,1093
20260823-161257,2,7,1098
20260823-161257,3,1,5384
20260823-161257,3,2,1028
20260823-161257,3,3,1028
20260823-161257,3,4,1028
20260823-161257,3,5,1028
20260823-161257,3,6,1028
20260823-161257,3,7,1029
